semester - 1
roll, sgpa
1221106002,5.76
1221106006,6.11
1101106001,7.11
1101106002,8.57
1101106003,6.86
1101106005,8.86
1101106006,8.36
1101106007,2.5
1101106008,7.43
1101106027,6.71
1101106024,7.54
1101106025,7.89
1101106022,6.0
1101106023,6.93
1101106020,8.43
1101106021,4.96
1101106028,7.39
1101106017,8.18
1101106016,8.93
1101106014,8.39
1101106013,8.29
1101106012,8.46
1101106011,6.79
1101106010,8.61
1221106001,5.07
1221106003,5.37
1101106357,5.93
1221106005,5.04
1221106004,5.88
1101106019,8.61
1101106018,8.0

semester - 2
roll, sgpa
1221106002,5.0
1221106006,6.85
1101106001,7.14
1101106002,2.36
1101106003,6.32
1101106005,8.43
1101106006,8.43
1101106008,8.25
1101106027,6.11
1101106024,7.71
1101106025,8.0
1101106022,5.14
1101106023,7.04
1101106020,8.64
1101106021,4.71
1101106028,7.29
1101106017,8.18
1101106016,8.46
1101106014,8.11
1101106013,7.89
1101106012,8.43
1101106011,5.21
1101106010,8.64
1221106001,6.77
1221106003,7.12
1101106357,6.29
1221106005,5.65
1221106004,5.85
1101106019,8.89
1101106018,8.25

semester - 3
roll, sgpa
1221106002,6.48
1221106006,7.4
1101106001,7.07
1101106003,6.78
1101106005,8.78
1101106006,8.04
1101106008,6.85
1101106027,6.85
1101106024,7.7
1101106025,7.81
1101106022,6.0
1101106023,7.07
1101106020,8.26
1101106021,5.41
1101106028,6.89
1101106017,8.26
1101106016,7.89
1101106014,7.78
1101106013,7.96
1101106012,9.3
1101106011,6.22
1101106010,8.81
1221106001,6.08
1221106003,6.8
1101106357,6.04
1221106005,5.48
1221106004,6.32
1101106019,9.37
1101106018,8.22

semester - 4
roll, sgpa
1221106002,7.2
1221106006,7.32
1101106001,7.85
1101106003,7.85
1101106005,8.77
1101106006,8.62
1101106008,7.81
1101106027,8.19
1101106024,8.35
1101106025,8.73
1101106022,5.81
1101106023,7.58
1101106020,8.65
1101106021,8.5
1101106028,7.12
1101106017,8.38
1101106016,8.77
1101106014,8.42
1101106013,8.23
1101106012,9.77
1101106011,7.65
1101106010,9.04
1221106001,6.72
1221106003,7.88
1101106357,6.77
1221106005,6.76
1221106004,5.2
1101106019,9.12
1101106018,8.88

semester - 5
roll, sgpa
1221106002,7.45
1221106006,7.27
1101106001,9.0
1101106003,8.2
1101106005,9.28
1101106006,8.88
1101106008,7.92
1101106027,8.36
1101106024,8.48
1101106025,8.84
1101106022,6.8
1101106023,7.8
1101106020,8.6
1101106021,8.12
1101106028,6.84
1101106017,8.88
1101106016,9.16
1101106014,8.4
1101106013,8.08
1101106012,9.52
1101106011,6.2
1101106010,9.4
1221106001,6.64
1221106003,7.27
1101106357,6.48
1221106005,6.36
1221106004,6.91
1101106019,9.16
1101106018,8.72

semester - 6
roll, sgpa
1221106002,7.57
1221106006,8.22
1101106001,7.36
1101106003,7.0
1101106005,9.08
1101106006,9.32
1101106008,8.36
1101106027,8.4
1101106024,8.6
1101106025,8.52
1101106022,5.64
1101106023,7.44
1101106020,9.04
1101106021,8.68
1101106028,6.92
1101106017,7.84
1101106016,9.0
1101106014,8.32
1101106013,8.52
1101106012,9.84
1101106011,7.2
1101106010,9.24
1221106001,7.96
1221106003,7.96
1101106357,6.56
1221106005,7.7
1221106004,7.83
1101106019,9.2
1101106018,9.36

semester - 7
roll, sgpa
1101106001,7.55
1101106003,7.41
1101106005,8.64
1101106006,9.18
1101106008,7.55
1101106027,7.59
1101106024,8.0
1101106025,8.64
1101106022,6.36
1101106023,7.05
1101106020,8.5
1101106021,7.82
1101106028,7.27
1101106017,8.5
1101106016,8.5
1101106014,8.23
1101106013,8.36
1101106012,9.86
1101106011,6.64
1101106010,8.91
1101106357,6.91
1101106019,9.32
1101106018,8.64

semester - 8
roll, sgpa
1101106001,8.3
1101106003,8.48
1101106005,9.09
1101106006,9.09
1101106008,8.83
1101106027,8.48
1101106024,8.83
1101106025,9.22
1101106022,7.57
1101106023,8.7
1101106020,9.0
1101106021,8.09
1101106028,8.7
1101106017,8.74
1101106016,8.87
1101106014,8.57
1101106013,8.87
1101106012,9.74
1101106011,7.7
1101106010,9.48
1101106357,7.7
1101106019,9.48
1101106018,9.09

