semester - 1
roll, sgpa
1001106265,8.39
1001106264,8.11
1001106201,8.68
1001106266,7.5
1001106261,8.93
1001106260,0.71
1001106263,6.14
1001106262,8.43
1001106269,9.21
1001106267,9.11
1001106193,8.61
1001106258,8.61
1001106259,9.11
1001106010,8.04
1121106039,8.22
1121106038,8.0
1001106254,0.71
1001106255,9.14
1001106256,8.43
1001106257,6.25
1001106276,7.79
1001106277,8.04
1001106274,9.29
1001106275,8.93
1001106272,7.96
1001106273,8.96
1001106270,8.54
1001106271,8.75
1001106278,7.39
1001106268,7.93
1001106279,8.04
1001106283,8.75
1001106282,9.07
1001106281,0.71
1001106280,8.0
1001106286,9.11
1001106285,8.5
1001106284,7.18
1121106042,7.78
1121106040,7.0
1121106041,7.63

semester - 2
roll, sgpa
1001106265,8.89
1001106264,8.82
1001106201,8.32
1001106266,7.14
1001106261,9.29
1001106260,0.0
1001106263,6.35
1001106262,9.18
1001106269,9.25
1001106267,9.25
1001106193,9.14
1001106258,8.57
1001106259,9.21
1001106010,8.61
1121106039,8.5
1121106038,8.39
1001106254,0.0
1001106255,8.68
1001106256,8.68
1001106257,6.9
1001106276,7.18
1001106277,8.5
1001106274,9.57
1001106275,8.93
1001106272,8.57
1001106273,8.86
1001106270,8.71
1001106271,8.64
1001106278,7.86
1001106268,7.68
1001106279,8.54
1001106283,8.68
1001106282,9.07
1001106281,0.0
1001106280,7.18
1001106286,8.75
1001106285,7.07
1001106284,6.93
1121106042,7.75
1121106040,7.14
1121106041,7.57

semester - 3
roll, sgpa
1001106265,8.93
1001106264,8.52
1001106201,7.74
1001106266,6.48
1001106261,8.89
1001106263,5.7
1001106262,9.3
1001106269,9.04
1001106267,9.41
1001106193,8.67
1001106258,8.44
1001106259,9.04
1001106010,6.85
1121106039,8.77
1121106038,8.56
1001106255,0.44
1001106256,7.26
1001106257,6.56
1001106276,6.59
1001106277,8.0
1001106274,9.52
1001106275,8.59
1001106272,7.78
1001106273,8.59
1001106270,8.41
1001106271,7.85
1001106278,7.44
1001106268,7.19
1001106279,8.81
1001106283,8.26
1001106282,8.78
1001106280,8.44
1001106286,8.48
1001106285,8.26
1001106284,6.3
1121106042,8.52
1121106040,7.24
1121106041,7.88

semester - 4
roll, sgpa
1001106265,8.89
1001106264,8.5
1001106201,8.68
1001106266,6.57
1001106261,8.79
1001106263,7.0
1001106262,9.14
1001106269,9.25
1001106267,9.46
1001106193,9.14
1001106258,8.57
1001106259,9.36
1001106010,7.36
1121106039,8.42
1121106038,8.63
1001106256,8.54
1001106257,7.29
1001106276,7.75
1001106277,8.07
1001106274,9.43
1001106275,9.07
1001106272,8.32
1001106273,8.93
1001106270,8.68
1001106271,8.75
1001106278,7.68
1001106268,7.46
1001106279,8.79
1001106283,8.64
1001106282,8.75
1001106280,8.43
1001106286,8.86
1001106285,8.86
1001106284,7.29
1121106042,8.21
1121106040,7.0
1121106041,7.63

semester - 5
roll, sgpa
1001106265,9.2
1001106264,8.56
1001106201,8.4
1001106266,6.92
1001106261,9.28
1001106263,6.64
1001106262,9.4
1001106269,9.4
1001106267,9.4
1001106193,9.04
1001106258,8.04
1001106259,9.04
1001106010,6.72
1121106039,8.0
1121106038,8.52
1001106256,8.32
1001106257,6.6
1001106276,6.64
1001106277,8.8
1001106274,9.16
1001106275,8.64
1001106272,8.08
1001106273,8.92
1001106270,8.8
1001106271,8.72
1001106278,8.56
1001106268,7.72
1001106279,9.24
1001106283,9.04
1001106282,9.4
1001106280,9.16
1001106286,9.12
1001106285,8.88
1001106284,7.04
1121106042,7.7
1121106040,5.61
1121106041,7.65

semester - 6
roll, sgpa
1001106265,8.25
1001106264,8.08
1001106201,8.79
1001106266,6.79
1001106261,8.75
1001106263,5.64
1001106262,8.75
1001106269,9.0
1001106267,9.0
1001106193,8.92
1001106258,8.08
1001106259,8.96
1001106010,6.79
1121106039,9.14
1121106038,8.62
1001106256,7.63
1001106257,6.75
1001106276,6.54
1001106277,8.46
1001106274,9.17
1001106275,8.54
1001106272,8.13
1001106273,8.75
1001106270,8.42
1001106271,8.63
1001106278,8.21
1001106268,7.5
1001106279,9.25
1001106283,8.67
1001106282,9.13
1001106280,8.13
1001106286,9.04
1001106285,8.0
1001106284,6.83
1121106042,8.67
1121106040,7.62
1121106041,7.81

semester - 7
roll, sgpa
1001106265,8.83
1001106264,8.17
1001106201,8.26
1001106266,5.35
1001106261,8.52
1001106263,6.43
1001106262,8.74
1001106269,8.96
1001106267,8.91
1001106193,8.91
1001106258,8.09
1001106259,8.91
1001106010,6.22
1001106256,7.83
1001106257,6.13
1001106276,6.22
1001106277,7.7
1001106274,8.91
1001106275,8.43
1001106272,7.96
1001106273,8.91
1001106270,8.26
1001106271,8.48
1001106278,7.57
1001106268,7.43
1001106279,8.7
1001106283,8.43
1001106282,8.87
1001106280,8.35
1001106286,8.43
1001106285,7.43
1001106284,5.91

semester - 8
roll, sgpa
1001106265,9.29
1001106264,8.38
1001106201,9.29
1001106266,7.43
1001106261,8.95
1001106263,7.81
1001106262,9.43
1001106269,9.29
1001106267,9.43
1001106193,9.24
1001106258,8.48
1001106259,9.43
1001106010,8.0
1001106256,8.62
1001106257,7.29
1001106276,7.57
1001106277,8.38
1001106274,9.0
1001106275,8.67
1001106272,8.24
1001106273,8.81
1001106270,9.43
1001106271,8.71
1001106278,9.0
1001106268,8.57
1001106279,9.1
1001106283,8.95
1001106282,9.1
1001106280,9.43
1001106286,9.33
1001106285,8.62
1001106284,7.71

