semester - 1
roll, sgpa
1001106179,6.5
1001106178,6.36
1001106182,5.25
1001106183,6.43
1001106184,7.32
1001106185,8.04
1001106186,6.61
1001106181,6.54
1001106188,7.79
1001106187,5.29
1001106175,4.54
1001106174,7.79
1001106177,5.93
1001106176,5.54
1121106046,4.96
1121106047,3.75
1121106044,6.56
1121106045,5.78
1001106180,5.5
1121106048,2.0
1121106043,4.52

semester - 2
roll, sgpa
1001106179,7.06
1001106178,6.61
1001106182,1.2
1001106183,7.48
1001106184,6.93
1001106185,8.11
1001106186,6.03
1001106181,5.89
1001106188,8.14
1001106187,6.41
1001106175,4.09
1001106174,7.96
1001106177,7.29
1001106176,6.18
1121106046,4.67
1121106044,6.81
1121106045,6.33
1001106180,5.47
1121106043,6.25

semester - 3
roll, sgpa
1001106179,8.11
1001106178,5.89
1001106182,0.0
1001106183,7.48
1001106184,6.89
1001106185,9.04
1001106186,6.37
1001106181,7.41
1001106188,8.22
1001106187,7.96
1001106175,4.07
1001106174,9.22
1001106177,7.93
1001106176,6.44
1121106046,4.23
1121106044,6.54
1121106045,5.65
1001106180,6.26
1121106043,5.73

semester - 4
roll, sgpa
1001106179,8.74
1001106178,5.78
1001106183,8.37
1001106184,6.48
1001106185,9.15
1001106186,6.74
1001106181,7.92
1001106188,8.59
1001106187,8.54
1001106175,3.19
1001106174,8.78
1001106177,8.19
1001106176,5.67
1121106046,6.3
1121106044,6.39
1121106045,6.13
1001106180,7.11
1121106043,6.0

semester - 5
roll, sgpa
1001106179,8.0
1001106178,5.08
1001106183,7.62
1001106184,7.04
1001106185,9.42
1001106186,6.0
1001106181,7.77
1001106188,8.5
1001106187,8.54
1001106175,3.85
1001106174,9.08
1001106177,7.92
1001106176,4.85
1121106046,7.88
1121106044,8.29
1121106045,7.79
1001106180,6.38
1121106043,7.42

semester - 6
roll, sgpa
1001106179,8.57
1001106178,5.91
1001106183,7.91
1001106184,7.26
1001106185,9.48
1001106186,6.13
1001106181,7.7
1001106188,8.48
1001106187,8.65
1001106175,4.74
1001106174,8.87
1001106177,8.26
1001106176,5.96
1121106046,6.86
1121106044,6.76
1121106045,7.14
1001106180,6.74
1121106043,7.0

semester - 7
roll, sgpa
1001106179,9.25
1001106178,6.88
1001106183,8.58
1001106184,8.83
1001106185,9.92
1001106186,7.42
1001106181,9.0
1001106188,9.58
1001106187,9.63
1001106175,5.92
1001106174,9.79
1001106177,8.92
1001106176,7.08
1001106180,8.17

semester - 8
roll, sgpa
1001106179,9.14
1001106178,6.14
1001106183,8.14
1001106184,7.86
1001106185,9.57
1001106186,7.29
1001106181,8.14
1001106188,9.0
1001106187,9.43
1001106175,0.0
1001106174,9.57
1001106177,8.1
1001106176,6.71
1001106180,7.86

