semester - 1
roll, sgpa
1001106203,7.75
1001106202,7.82
1001106200,6.93
1001106207,8.32
1001106206,7.39
1001106205,6.29
1001106204,7.96
1001106221,5.75
1001106220,5.71
1001106209,6.04
1001106208,7.82
1001106225,8.32
1001106224,4.61
1001106227,6.79
1001106226,7.71
1001106237,6.93
1001106239,8.68
1121106033,8.64
1001106197,9.21
1001106196,6.54
1001106195,1.43
1001106194,6.11
1001106192,8.25
1001106191,8.39
1001106190,6.5
1001106230,8.07
1001106199,8.0
1001106198,7.32
1001106228,8.21
1001106232,6.39
1121106031,8.57
1121106037,4.07
1121106032,7.96
1121106035,7.07
1001106233,7.14
1001106250,8.54
1001106251,7.18
1001106252,7.82
1001106253,7.68
1001106223,8.11
1121106036,5.82
1001106238,8.29
1001106231,5.75
1001106218,7.86
1001106219,7.79
1001106214,6.0
1001106215,4.14
1001106216,5.86
1001106217,8.32
1001106210,5.75
1001106211,7.82
1001106212,8.46
1001106213,7.86
1001106234,8.43
1121106034,7.64
1001106235,7.68
1001106189,7.14
1001106249,9.14
1001106248,5.43
1001106247,4.64
1001106246,8.57
1001106245,8.07
1001106244,5.18
1001106243,6.89
1001106242,8.21
1001106241,7.43
1001106240,9.04

semester - 2
roll, sgpa
1001106203,8.14
1001106202,7.82
1001106200,7.68
1001106207,8.57
1001106206,5.57
1001106205,5.77
1001106204,7.57
1001106221,5.35
1001106220,6.53
1001106209,6.1
1001106208,7.64
1001106225,9.39
1001106224,4.86
1001106227,7.1
1001106226,7.86
1001106237,7.0
1001106239,9.0
1121106033,8.11
1001106197,9.39
1001106196,6.23
1001106195,0.0
1001106194,5.86
1001106192,8.29
1001106191,8.18
1001106190,7.03
1001106230,8.39
1001106199,7.43
1001106198,7.0
1001106228,8.96
1001106232,7.44
1121106031,8.3
1121106037,3.37
1121106032,6.96
1121106035,6.15
1001106233,6.65
1001106250,9.11
1001106251,7.68
1001106252,8.11
1001106253,8.04
1001106223,8.57
1121106036,5.15
1001106238,8.64
1001106231,5.97
1001106218,7.46
1001106219,8.54
1001106214,5.48
1001106215,3.12
1001106216,6.57
1001106217,9.0
1001106210,6.03
1001106211,7.75
1001106212,8.57
1001106213,8.39
1001106234,8.0
1121106034,6.04
1001106235,7.29
1001106189,7.46
1001106249,9.04
1001106248,6.15
1001106247,5.38
1001106246,9.36
1001106245,8.21
1001106244,6.41
1001106243,6.89
1001106242,8.57
1001106241,6.82
1001106240,9.5

semester - 3
roll, sgpa
1001106203,6.79
1001106202,7.75
1001106200,7.07
1001106207,8.21
1001106206,6.11
1001106205,4.79
