semester - 1
roll, sgpa
1001106347,4.93
1001106344,5.21
1001106342,5.5
1001106343,6.61
1001106340,3.5
1001106341,7.04
1001106348,5.79
1001106349,7.54
1001106351,7.25
1001106353,4.71
1001106352,6.5
1121106070,6.96
1121106059,3.85
1121106058,8.19
1001106355,6.14
1001106354,6.36
1001106357,6.86
1001106356,7.39
1001106337,6.04
1001106336,7.11
1001106335,6.43
1001106334,6.75
1001106339,7.07
1001106338,6.39
1001106359,5.21
1001106358,7.0
1121106068,6.96
1121106069,4.77
1121106060,6.46
1121106061,7.65
1121106062,6.73
1121106063,6.15
1121106064,8.23
1121106065,4.42
1121106066,7.54
1121106067,8.31
1001106368,5.11
1001106360,5.36
1001106361,7.86
1001106362,6.07
1001106363,7.75
1001106365,7.11
1001106366,5.71
1001106367,5.86

semester - 2
roll, sgpa
1001106347,5.59
1001106344,2.09
1001106342,6.03
1001106343,6.93
1001106340,0.0
1001106341,7.75
1001106348,5.74
1001106349,6.71
1001106351,8.11
1001106353,3.3
1001106352,6.93
1121106070,6.69
1121106059,4.27
1121106058,7.85
1001106355,7.29
1001106354,7.43
1001106357,6.96
1001106356,8.25
1001106337,5.3
1001106336,5.96
1001106335,7.06
1001106334,7.42
1001106339,7.82
1001106338,7.39
1001106359,6.32
1001106358,7.39
1121106068,6.27
1121106069,4.96
1121106060,6.65
1121106061,7.85
1121106062,7.38
1121106063,6.15
1121106064,8.19
1121106065,5.58
1121106066,7.5
1121106067,8.12
1001106368,5.65
1001106360,6.48
1001106361,8.14
1001106362,8.0
1001106363,8.46
1001106365,7.04
1001106366,6.68
1001106367,4.84

semester - 3
roll, sgpa
1001106347,6.35
1001106344,1.08
1001106342,6.19
1001106343,7.08
1001106341,7.31
1001106348,5.92
1001106349,6.81
1001106351,8.0
1001106353,4.5
1001106352,7.0
1121106070,7.26
1121106059,5.37
1121106058,7.78
1001106355,7.04
1001106354,7.12
1001106357,6.85
1001106356,7.69
1001106337,5.54
1001106336,6.65
1001106335,7.12
1001106334,6.77
1001106339,7.19
1001106338,7.04
1001106359,6.46
1001106358,6.92
1121106068,6.78
1121106069,6.22
1121106060,7.67
1121106061,7.56
1121106062,6.93
1121106063,6.44
1121106064,8.33
1121106065,6.04
1121106066,7.89
1121106067,8.41
1001106368,6.46
1001106360,6.12
1001106361,7.92
1001106362,7.38
1001106363,7.88
1001106365,7.96
1001106366,7.35
1001106367,1.23

semester - 4
roll, sgpa
1001106347,7.31
1001106342,6.96
1001106343,7.12
1001106341,7.19
1001106348,6.58
1001106349,7.23
1001106351,8.35
1001106353,3.19
1001106352,7.77
1121106070,7.5
1121106059,5.63
1121106058,8.67
1001106355,7.46
1001106354,7.35
1001106357,6.88
1001106356,8.35
1001106337,5.81
1001106336,6.96
1001106335,7.73
1001106334,6.42
1001106339,7.0
1001106338,7.92
1001106359,7.61
1001106358,7.92
1121106068,7.63
1121106069,6.75
1121106060,8.0
1121106061,8.25
1121106062,7.58
1121106063,6.08
1121106064,9.08
1121106065,6.67
1121106066,8.75
1121106067,9.04
1001106368,6.08
1001106360,6.62
1001106361,8.27
1001106362,8.04
1001106363,8.15
1001106365,7.92
1001106366,7.38

semester - 5
roll, sgpa
1001106347,6.63
1001106342,6.89
1001106343,7.19
1001106341,6.81
1001106348,6.11
1001106349,7.81
1001106351,8.52
1001106353,0.59
1001106352,7.15
1121106070,6.75
1121106059,4.46
1121106058,7.42
1001106355,7.11
1001106354,7.59
1001106356,8.11
1001106337,6.19
1001106336,6.37
1001106335,7.07
1001106334,6.07
1001106339,6.81
1001106338,8.11
1001106359,6.85
1001106358,7.93
1121106068,6.75
1121106069,6.21
1121106060,7.04
1121106061,8.13
1121106062,7.17
1121106063,6.13
1121106064,8.67
1121106065,6.92
1121106066,7.38
1121106067,8.13
1001106368,6.0
1001106360,6.22
1001106361,8.19
1001106362,8.07
1001106363,8.0
1001106365,7.96
1001106366,6.78

semester - 6
roll, sgpa
1001106347,7.5
1001106342,7.25
1001106343,7.75
1001106341,7.13
1001106348,6.92
1001106349,7.58
1001106351,9.13
1001106352,8.0
1121106070,6.48
1121106059,5.24
1121106058,8.62
1001106355,7.96
1001106354,7.83
1001106356,8.37
1001106337,5.92
1001106336,7.33
1001106335,7.88
1001106334,7.75
1001106339,7.38
1001106338,7.67
1001106359,7.5
1001106358,8.5
1121106068,6.62
1121106069,6.81
1121106060,7.62
1121106061,7.86
1121106062,7.19
1121106063,3.8
1121106064,8.62
1121106065,6.62
1121106066,8.19
1121106067,8.43
1001106368,6.46
1001106360,6.88
1001106361,8.75
1001106362,8.75
1001106363,8.58
1001106365,8.54
1001106366,7.79

semester - 7
roll, sgpa
1001106347,5.71
1001106342,7.12
1001106343,7.04
1001106341,6.25
1001106348,7.17
1001106349,7.38
1001106351,7.63
1001106352,7.04
1001106355,7.0
1001106354,7.25
1001106356,7.38
1001106337,6.25
1001106336,6.79
1001106335,7.33
1001106334,6.92
1001106339,7.29
1001106338,7.42
1001106359,6.75
1001106358,7.17
1001106368,6.29
1001106360,6.29
1001106361,7.88
1001106362,7.79
1001106363,8.0
1001106365,8.17
1001106366,7.54

semester - 8
roll, sgpa
1001106347,6.9
1001106342,7.76
1001106343,7.81
1001106341,7.48
1001106348,7.33
1001106349,7.71
1001106351,8.57
1001106352,7.62
1001106355,7.86
1001106354,8.29
1001106356,7.86
1001106337,6.48
1001106336,7.62
1001106335,7.57
1001106334,7.62
1001106339,7.9
1001106338,8.0
1001106359,7.9
1001106358,8.48
1001106368,6.62
1001106360,6.81
1001106361,8.43
1001106362,8.57
1001106363,8.76
1001106365,8.33
1001106366,8.14

